Day,Month,Year,Day of week
1,January,2022,Saturday
2,January,2022,Sunday
3,January,2022,Monday
4,January,2022,Tuesday
5,January,2022,Wednesday
6,January,2022,Thursday
7,January,2022,Friday
8,January,2022,Saturday
9,January,2022,Sunday
10,January,2022,Monday
11,January,2022,Tuesday
12,January,2022,Wednesday
13,January,2022,Thursday
14,January,2022,Friday
15,January,2022,Saturday
16,January,2022,Sunday
17,January,2022,Monday
18,January,2022,Tuesday
19,January,2022,Wednesday
20,January,2022,Thursday
21,January,2022,Friday
22,January,2022,Saturday
23,January,2022,Sunday
24,January,2022,Monday
25,January,2022,Tuesday
26,January,2022,Wednesday
27,January,2022,Thursday
28,January,2022,Friday
29,January,2022,Saturday
30,January,2022,Sunday
31,January,2022,Monday
1,February,2022,Tuesday
2,February,2022,Wednesday
3,February,2022,Thursday
4,February,2022,Friday
5,February,2022,Saturday
6,February,2022,Sunday
7,February,2022,Monday
8,February,2022,Tuesday
9,February,2022,Wednesday
10,February,2022,Thursday
11,February,2022,Friday
12,February,2022,Saturday
13,February,2022,Sunday
14,February,2022,Monday
15,February,2022,Tuesday
16,February,2022,Wednesday
17,February,2022,Thursday
18,February,2022,Friday
19,February,2022,Saturday
20,February,2022,Sunday
21,February,2022,Monday
22,February,2022,Tuesday
23,February,2022,Wednesday
24,February,2022,Thursday
25,February,2022,Friday
26,February,2022,Saturday
27,February,2022,Sunday
28,February,2022,Monday
1,March,2022,Tuesday
2,March,2022,Wednesday
3,March,2022,Thursday
4,March,2022,Friday
5,March,2022,Saturday
6,March,2022,Sunday
7,March,2022,Monday
8,March,2022,Tuesday
9,March,2022,Wednesday
10,March,2022,Thursday
11,March,2022,Friday
12,March,2022,Saturday
13,March,2022,Sunday
14,March,2022,Monday
15,March,2022,Tuesday
16,March,2022,Wednesday
17,March,2022,Thursday
18,March,2022,Friday
19,March,2022,Saturday
20,March,2022,Sunday
21,March,2022,Monday
22,March,2022,Tuesday
23,March,2022,Wednesday
24,March,2022,Thursday
25,March,2022,Friday
26,March,2022,Saturday
27,March,2022,Sunday
28,March,2022,Monday
29,March,2022,Tuesday
30,March,2022,Wednesday
31,March,2022,Thursday
1,April,2022,Friday
2,April,2022,Saturday
3,April,2022,Sunday
4,April,2022,Monday
5,April,2022,Tuesday
6,April,2022,Wednesday
7,April,2022,Thursday
8,April,2022,Friday
9,April,2022,Saturday
10,April,2022,Sunday
11,April,2022,Monday
12,April,2022,Tuesday
13,April,2022,Wednesday
14,April,2022,Thursday
15,April,2022,Friday
16,April,2022,Saturday
17,April,2022,Sunday
18,April,2022,Monday
19,April,2022,Tuesday
20,April,2022,Wednesday
21,April,2022,Thursday
22,April,2022,Friday
23,April,2022,Saturday
24,April,2022,Sunday
25,April,2022,Monday
26,April,2022,Tuesday
27,April,2022,Wednesday
28,April,2022,Thursday
29,April,2022,Friday
30,April,2022,Saturday
1,May,2022,Sunday
2,May,2022,Monday
3,May,2022,Tuesday
4,May,2022,Wednesday
5,May,2022,Thursday
6,May,2022,Friday
7,May,2022,Saturday
8,May,2022,Sunday
9,May,2022,Monday
10,May,2022,Tuesday
11,May,2022,Wednesday
12,May,2022,Thursday
13,May,2022,Friday
14,May,2022,Saturday
15,May,2022,Sunday
16,May,2022,Monday
17,May,2022,Tuesday
18,May,2022,Wednesday
19,May,2022,Thursday
20,May,2022,Friday
21,May,2022,Saturday
22,May,2022,Sunday
23,May,2022,Monday
24,May,2022,Tuesday
25,May,2022,Wednesday
26,May,2022,Thursday
27,May,2022,Friday
28,May,2022,Saturday
29,May,2022,Sunday
30,May,2022,Monday
31,May,2022,Tuesday
1,June,2022,Wednesday
2,June,2022,Thursday
3,June,2022,Friday
4,June,2022,Saturday
5,June,2022,Sunday
6,June,2022,Monday
7,June,2022,Tuesday
8,June,2022,Wednesday
9,June,2022,Thursday
10,June,2022,Friday
11,June,2022,Saturday
12,June,2022,Sunday
13,June,2022,Monday
14,June,2022,Tuesday
15,June,2022,Wednesday
16,June,2022,Thursday
17,June,2022,Friday
18,June,2022,Saturday
19,June,2022,Sunday
20,June,2022,Monday
21,June,2022,Tuesday
22,June,2022,Wednesday
23,June,2022,Thursday
24,June,2022,Friday
25,June,2022,Saturday
26,June,2022,Sunday
27,June,2022,Monday
28,June,2022,Tuesday
29,June,2022,Wednesday
30,June,2022,Thursday
1,July,2022,Friday
2,July,2022,Saturday
3,July,2022,Sunday
4,July,2022,Monday
5,July,2022,Tuesday
6,July,2022,Wednesday
7,July,2022,Thursday
8,July,2022,Friday
9,July,2022,Saturday
10,July,2022,Sunday
11,July,2022,Monday
12,July,2022,Tuesday
13,July,2022,Wednesday
14,July,2022,Thursday
15,July,2022,Friday
16,July,2022,Saturday
17,July,2022,Sunday
18,July,2022,Monday
19,July,2022,Tuesday
20,July,2022,Wednesday
21,July,2022,Thursday
22,July,2022,Friday
23,July,2022,Saturday
24,July,2022,Sunday
25,July,2022,Monday
26,July,2022,Tuesday
27,July,2022,Wednesday
28,July,2022,Thursday
29,July,2022,Friday
30,July,2022,Saturday
31,July,2022,Sunday
1,August,2022,Monday
2,August,2022,Tuesday
3,August,2022,Wednesday
4,August,2022,Thursday
5,August,2022,Friday
6,August,2022,Saturday
7,August,2022,Sunday
8,August,2022,Monday
9,August,2022,Tuesday
10,August,2022,Wednesday
11,August,2022,Thursday
12,August,2022,Friday
13,August,2022,Saturday
14,August,2022,Sunday
15,August,2022,Monday
16,August,2022,Tuesday
17,August,2022,Wednesday
18,August,2022,Thursday
19,August,2022,Friday
20,August,2022,Saturday
21,August,2022,Sunday
22,August,2022,Monday
23,August,2022,Tuesday
24,August,2022,Wednesday
25,August,2022,Thursday
26,August,2022,Friday
27,August,2022,Saturday
28,August,2022,Sunday
29,August,2022,Monday
30,August,2022,Tuesday
31,August,2022,Wednesday
1,September,2022,Thursday
2,September,2022,Friday
3,September,2022,Saturday
4,September,2022,Sunday
5,September,2022,Monday
6,September,2022,Tuesday
7,September,2022,Wednesday
8,September,2022,Thursday
9,September,2022,Friday
10,September,2022,Saturday
11,September,2022,Sunday
12,September,2022,Monday
13,September,2022,Tuesday
14,September,2022,Wednesday
15,September,2022,Thursday
16,September,2022,Friday
17,September,2022,Saturday
18,September,2022,Sunday
19,September,2022,Monday
20,September,2022,Tuesday
21,September,2022,Wednesday
22,September,2022,Thursday
23,September,2022,Friday
24,September,2022,Saturday
25,September,2022,Sunday
26,September,2022,Monday
27,September,2022,Tuesday
28,September,2022,Wednesday
29,September,2022,Thursday
30,September,2022,Friday
1,October,2022,Saturday
2,October,2022,Sunday
3,October,2022,Monday
4,October,2022,Tuesday
5,October,2022,Wednesday
6,October,2022,Thursday
7,October,2022,Friday
8,October,2022,Saturday
9,October,2022,Sunday
10,October,2022,Monday
11,October,2022,Tuesday
12,October,2022,Wednesday
13,October,2022,Thursday
14,October,2022,Friday
15,October,2022,Saturday
16,October,2022,Sunday
17,October,2022,Monday
18,October,2022,Tuesday
19,October,2022,Wednesday
20,October,2022,Thursday
21,October,2022,Friday
22,October,2022,Saturday
23,October,2022,Sunday
24,October,2022,Monday
25,October,2022,Tuesday
26,October,2022,Wednesday
27,October,2022,Thursday
28,October,2022,Friday
29,October,2022,Saturday
30,October,2022,Sunday
31,October,2022,Monday
1,November,2022,Tuesday
2,November,2022,Wednesday
3,November,2022,Thursday
4,November,2022,Friday
5,November,2022,Saturday
6,November,2022,Sunday
7,November,2022,Monday
8,November,2022,Tuesday
9,November,2022,Wednesday
10,November,2022,Thursday
11,November,2022,Friday
12,November,2022,Saturday
13,November,2022,Sunday
14,November,2022,Monday
15,November,2022,Tuesday
16,November,2022,Wednesday
17,November,2022,Thursday
18,November,2022,Friday
19,November,2022,Saturday
20,November,2022,Sunday
21,November,2022,Monday
22,November,2022,Tuesday
23,November,2022,Wednesday
24,November,2022,Thursday
25,November,2022,Friday
26,November,2022,Saturday
27,November,2022,Sunday
28,November,2022,Monday
29,November,2022,Tuesday
30,November,2022,Wednesday
1,December,2022,Thursday
2,December,2022,Friday
3,December,2022,Saturday
4,December,2022,Sunday
5,December,2022,Monday
6,December,2022,Tuesday
7,December,2022,Wednesday
8,December,2022,Thursday
9,December,2022,Friday
10,December,2022,Saturday
11,December,2022,Sunday
12,December,2022,Monday
13,December,2022,Tuesday
14,December,2022,Wednesday
15,December,2022,Thursday
16,December,2022,Friday
17,December,2022,Saturday
18,December,2022,Sunday
19,December,2022,Monday
20,December,2022,Tuesday
21,December,2022,Wednesday
22,December,2022,Thursday
23,December,2022,Friday
24,December,2022,Saturday
25,December,2022,Sunday
26,December,2022,Monday
27,December,2022,Tuesday
28,December,2022,Wednesday
29,December,2022,Thursday
30,December,2022,Friday
31,December,2022,Saturday
